Stock Name,Basic Industry,Sector,Company Name
THEJO,Civil Construction,Construction,Thejo Engineering Limited
BANSALWIRE,Iron & Steel,Metals & Mining,Bansal Wire Industries Limited
SRD,Chemicals Specialty,Chemicals,Shankar Lal Rampal Dye-Chem Limited
SRGHFL,Housing Finance,Financial Services,SRG Housing Finance Limited
ASTEC,Agro chemicals,Chemicals,Astec LifeSciences Limited
BAYERCROP,Agro chemicals,Chemicals,Bayer Cropscience Limited
COSMOFIRST,Packaging,Capital Goods,COSMO FIRST LIMITED
DYCL,Cables - Electricals,Capital Goods,Dynamic Cables Limited
ACEINTEG,Diversified Commercial Services,Services,Ace Integrated Solutions Limited
DIXON,EMS,Capital Goods,Dixon Technologies (India) Limited
HINDCOMPOS,Auto Ancilaries,Auto,Hindustan Composites Limited
DEN,TV Broadcasting & Software,Telecommunication,Den Networks Limited
KANORICHEM,Chemicals Specialty,Chemicals,Kanoria Chemicals & Industries Limited
OMINFRAL,Civil Construction,Construction,OM INFRA LIMITED
NEWGEN,Software Services,Information Technology,Newgen Software Technologies Limited
PREMIER,Industrial Products & Manufacturing,Capital Goods,Premier Limited
JBMA,Auto Ancilaries,Auto,JBM Auto Limited
SONATSOFTW,Software Services,Information Technology,Sonata Software Limited
VISAKAIND,Construction Products Miscallaneous,Construction,Visaka Industries Limited
TASTYBITE,Sugar,FMCG,Tasty Bite Eatables Limited
TBZ,Jewellery,Consumer Durables,Tribhovandas Bhimji Zaveri Limited
TCPLPACK,Packaging,Capital Goods,TCPL Packaging Limited
THOMASCOOK,Tour & Travel services,Consumer Services,Thomas Cook  (India)  Limited
PLATIND,Petrochemicals,Chemicals,Platinum Industries Limited
NTPCGREEN,Power Generation & Distribution,Power,NTPC Green Energy Limited
CRIZAC,Education Services,Consumer Services,Crizac Limited
CONSOFINVT,Asset Management,Financial Services,Consolidated Finvest & Holdings Limited
GUJALKALI,Chemicals Specialty,Chemicals,Gujarat Alkalies and Chemicals Limited
EKC,Metal Fabrication,Metals & Mining,Everest Kanto Cylinder Limited
