Stock Name,Basic Industry,Sector,Company Name
PRAKASHSTL,Iron & Steel,Metals & Mining,Prakash Steelage Limited
PRITI,Home Furnishing,Consumer Durables,Priti International Limited
KHADIM,Footwear,Consumer Durables,Khadim India Limited
UTKARSHBNK,Private Banks,Financial Services,Utkarsh Small Finance Bank Limited
VARDMNPOLY,Textiles,Textiles,Vardhman Polytex Limited
UMAEXPORTS,Agro Products,FMCG,Uma Exports Limited
SHRADHA,Real Estate,Realty,Shradha Infraprojects Limited
ZEEMEDIA,TV Broadcasting & Software,Media Entertainment & Publication,Zee Media Corporation Limited
OLAELEC,Auto Manufacturers,Auto,Ola Electric Mobility Limited
SUNCLAY,Industrial Products & Manufacturing,Capital Goods,Sundaram Clayton Limited
HILINFRA,Civil Construction,Construction,Highway Infrastructure Limited
REGAAL,Agro Products,FMCG,Regaal Resources Limited
CHEMFAB,Chemicals Specialty,Chemicals,Chemfab Alkalis Limited
GENESYS,Software Services,Information Technology,Genesys International Corporation Limited
CONFIPET,Gas Distribution,"Oil, Gas & Consumable fuels",Confidence Petroleum India Limited
DCXINDIA,Aerospace & Defense,Capital Goods,DCX Systems Limited
AGSTRA,Financial Services-Specialty,Financial Services,AGS Transact Technologies Limited
ANIKINDS,Real Estate,Realty,Anik Industries Limited
GOCOLORS,Apparels,Textiles,Go Fashion (India) Limited
UFBL,Restaurants,Consumer Services,Barbeque Nation Hospitality Limited
REFEX,Chemicals-Basic,Chemicals,Refex Industries Limited
ORIENTCEM,Cement,Construction,Orient Cement Limited
JINDWORLD,Textiles,Textiles,Jindal Worldwide Limited
KAMOPAINTS,Paints,Consumer Durables,Kamdhenu Ventures Limited
USK,Civil Construction,Construction,Udayshivakumar Infra Limited
KRITINUT,Edible Oils & Solvent Extraction,FMCG,Kriti Nutrients Limited
TRANSWORLD,Ship building & Allied services,Capital Goods,TRANSWORLD SHIPPING LINES LIMITED
SUULD,Textiles,Textiles,Suumaya Industries Limited
SIMBHALS,Sugar,FMCG,Simbhaoli Sugars Limited
UDS,Diversified Operations,Diversified,Updater Services Limited
BLUECHIP,NBFC,Financial Services,Blue Chip India Limited
SETUINFRA,Civil Construction,Construction,Setubandhan Infrastructure Limited
TPHQ,Finance & Investment,Financial Services,Teamo Productions HQ Limited
RKSWAMY,Advertising,Media Entertainment & Publication,R K Swamy Limited
NAVKARURB,Civil Construction,Construction,Navkar Urbanstructure Limited
BILVYAPAR,Cement,Construction,Binani Industries Limited
CHEMPLASTS,Petrochemicals,Chemicals,Chemplast Sanmar Limited
HCC,Civil Construction,Construction,Hindustan Construction Company Limited
BALAXI,Pharmaceuticals,Healthcare,BALAXI PHARMACEUTICALS LIMITED
DUCON,Software Services,Information Technology,Ducon Infratechnologies Limited
GANECOS,Textiles,Textiles,Ganesha Ecosphere Limited
FMNL,Real Estate,Realty,Future Market Networks Limited
DREAMFOLKS,Amusement Parks/ Other Recreation,Consumer Services,Dreamfolks Services Limited
PAKKA,Paper & Paper Products,Forest Materials,PAKKA LIMITED
JYOTISTRUC,Civil Construction,Construction,Jyoti Structures Limited
SERVOTECH,Electrical - Power Equipment,Capital Goods,Servotech Renewable Power System Limited
NDTV,TV Broadcasting & Software,Media Entertainment & Publication,New Delhi Television Limited
SARVESHWAR,Food Products,FMCG,Sarveshwar Foods Limited
RACE,Waste Management,Utilities,Race Eco Chain Limited
VAISHALI,Medical-Diversified,Healthcare,Vaishali Pharma Limited
TARIL,Transformers,Capital Goods,Transformers And Rectifiers (India) Limited
PRUDMOULI,Food Products,FMCG,Prudential Sugar Corporation Limited
AFFORDABLE,Electrical Miscallaneous,Capital Goods,Affordable Robotic & Automation Limited
QUADFUTURE,Electrical - Power Equipment,Capital Goods,Quadrant Future Tek Limited
RAJOOENG,Industrial Products & Manufacturing,Capital Goods,Rajoo Engineers Limited
VMSTMT,Industrial Products & Manufacturing,Capital Goods,VMS TMT Limited
KSR,Footwear,Consumer Durables,KSR Footwear Limited
CAPTRUST,NBFC,Financial Services,Capital Trust Limited
BHARATRAS,Agro chemicals,Chemicals,Bharat Rasayan Limited
ASTRON,Paper & Paper Products,Forest Materials,Astron Paper & Board Mill Limited
GSS,Software Products,Information Technology,GSS Infotech Limited
FLEXITUFF,Packaging,Capital Goods,Flexituff Ventures International Limited
ARSHIYA,Logistics,Services,Arshiya Limited
DJML,Logistics,Services,DJ Mediaprint & Logistics Limited
SADHNANIQ,Chemicals Specialty,Chemicals,Sadhana Nitrochem Limited
JAIBALAJI,Iron & Steel,Metals & Mining,Jai Balaji Industries Limited
MANGALAM,Pharmaceuticals,Healthcare,Mangalam Drugs And Organics Limited
SHANKARA,Speciality Retail,Consumer Services,Shankara Building Products Limited
DHARAN,Construction Residential & Commercial,Realty,KBC Global Limited
SKIL,Civil Construction,Construction,SKIL Infrastructure Limited
VPRPL,Civil Construction,Construction,Vishnu Prakash R Punglia Limited
VLEGOV,Software Services,Information Technology,VL E-Governance & IT Solutions Limited
RELINFRA,Power Generation & Distribution,Power,Reliance Infrastructure Limited
COHANCE,Pharmaceuticals,Healthcare,Suven Pharmaceuticals Limited
SKFINDIA,Industrial Products & Manufacturing,Capital Goods,SKF India Limited
URAVIDEF,Auto Ancilaries,Auto,Uravi Defence and Technology Limited
GENSOL,Civil Construction,Construction,Gensol Engineering Limited
MCLOUD,Software Services,Information Technology,Magellanic Cloud Limited
FISCHER,Medical Equipment & Supplies,Chemicals,Fischer Medical Ventures Limited
GEMAROMA,Chemicals Specialty,Chemicals,Gem Aromatics Limited
